absorber_thickness,defect_density,series_resistance,shunt_resistance,PCE (%)
3.00E-01,1.00E+13,1.00E+00,1.00E+02,1.02E+01
3.00E-01,1.00E+13,1.00E+00,1.00E+03,2.33E+01
3.00E-01,1.00E+13,1.00E+00,1.00E+04,2.47E+01
3.00E-01,1.00E+13,1.00E+00,1.00E+05,2.48E+01
3.00E-01,1.00E+13,1.00E+00,1.00E+06,2.49E+01
3.00E-01,1.00E+13,1.00E+00,1.00E+07,2.49E+01
3.00E-01,1.00E+14,1.00E+00,1.00E+02,1.02E+01
3.00E-01,1.00E+14,1.00E+00,1.00E+03,2.24E+01
3.00E-01,1.00E+14,1.00E+00,1.00E+04,2.38E+01
3.00E-01,1.00E+14,1.00E+00,1.00E+05,2.39E+01
3.00E-01,1.00E+14,1.00E+00,1.00E+06,2.39E+01
3.00E-01,1.00E+14,1.00E+00,1.00E+07,2.39E+01
3.00E-01,1.00E+15,1.00E+00,1.00E+02,1.01E+01
3.00E-01,1.00E+15,1.00E+00,1.00E+03,2.12E+01
3.00E-01,1.00E+15,1.00E+00,1.00E+04,2.24E+01
3.00E-01,1.00E+15,1.00E+00,1.00E+05,2.25E+01
3.00E-01,1.00E+15,1.00E+00,1.00E+06,2.26E+01
3.00E-01,1.00E+15,1.00E+00,1.00E+07,2.26E+01
3.00E-01,1.00E+16,1.00E+00,1.00E+02,9.91E+00
3.00E-01,1.00E+16,1.00E+00,1.00E+03,1.93E+01
3.00E-01,1.00E+16,1.00E+00,1.00E+04,2.03E+01
3.00E-01,1.00E+16,1.00E+00,1.00E+05,2.04E+01
3.00E-01,1.00E+16,1.00E+00,1.00E+06,2.04E+01
3.00E-01,1.00E+16,1.00E+00,1.00E+07,2.04E+01
3.00E-01,1.00E+17,1.00E+00,1.00E+02,9.25E+00
3.00E-01,1.00E+17,1.00E+00,1.00E+03,1.60E+01
3.00E-01,1.00E+17,1.00E+00,1.00E+04,1.67E+01
3.00E-01,1.00E+17,1.00E+00,1.00E+05,1.68E+01
3.00E-01,1.00E+17,1.00E+00,1.00E+06,1.68E+01
3.00E-01,1.00E+17,1.00E+00,1.00E+07,1.68E+01
4.00E-01,1.00E+13,1.00E+00,1.00E+02,1.17E+01
4.00E-01,1.00E+13,1.00E+00,1.00E+03,2.50E+01
4.00E-01,1.00E+13,1.00E+00,1.00E+04,2.64E+01
4.00E-01,1.00E+13,1.00E+00,1.00E+05,2.65E+01
4.00E-01,1.00E+13,1.00E+00,1.00E+06,2.65E+01
4.00E-01,1.00E+13,1.00E+00,1.00E+07,2.65E+01
4.00E-01,1.00E+14,1.00E+00,1.00E+02,1.17E+01
4.00E-01,1.00E+14,1.00E+00,1.00E+03,2.40E+01
4.00E-01,1.00E+14,1.00E+00,1.00E+04,2.53E+01
4.00E-01,1.00E+14,1.00E+00,1.00E+05,2.54E+01
4.00E-01,1.00E+14,1.00E+00,1.00E+06,2.54E+01
4.00E-01,1.00E+14,1.00E+00,1.00E+07,2.54E+01
4.00E-01,1.00E+15,1.00E+00,1.00E+02,1.16E+01
4.00E-01,1.00E+15,1.00E+00,1.00E+03,2.27E+01
4.00E-01,1.00E+15,1.00E+00,1.00E+04,2.38E+01
4.00E-01,1.00E+15,1.00E+00,1.00E+05,2.40E+01
4.00E-01,1.00E+15,1.00E+00,1.00E+06,2.40E+01
4.00E-01,1.00E+15,1.00E+00,1.00E+07,2.40E+01
4.00E-01,1.00E+16,1.00E+00,1.00E+02,1.12E+01
4.00E-01,1.00E+16,1.00E+00,1.00E+03,2.05E+01
4.00E-01,1.00E+16,1.00E+00,1.00E+04,2.16E+01
4.00E-01,1.00E+16,1.00E+00,1.00E+05,2.17E+01
4.00E-01,1.00E+16,1.00E+00,1.00E+06,2.17E+01
4.00E-01,1.00E+16,1.00E+00,1.00E+07,2.17E+01
4.00E-01,1.00E+17,1.00E+00,1.00E+02,1.01E+01
4.00E-01,1.00E+17,1.00E+00,1.00E+03,1.67E+01
4.00E-01,1.00E+17,1.00E+00,1.00E+04,1.75E+01
4.00E-01,1.00E+17,1.00E+00,1.00E+05,1.75E+01
4.00E-01,1.00E+17,1.00E+00,1.00E+06,1.75E+01
4.00E-01,1.00E+17,1.00E+00,1.00E+07,1.75E+01
5.00E-01,1.00E+13,1.00E+00,1.00E+02,1.28E+01
5.00E-01,1.00E+13,1.00E+00,1.00E+03,2.61E+01
5.00E-01,1.00E+13,1.00E+00,1.00E+04,2.74E+01
5.00E-01,1.00E+13,1.00E+00,1.00E+05,2.76E+01
5.00E-01,1.00E+13,1.00E+00,1.00E+06,2.76E+01
5.00E-01,1.00E+13,1.00E+00,1.00E+07,2.76E+01
5.00E-01,1.00E+14,1.00E+00,1.00E+02,1.27E+01
5.00E-01,1.00E+14,1.00E+00,1.00E+03,2.50E+01
5.00E-01,1.00E+14,1.00E+00,1.00E+04,2.63E+01
5.00E-01,1.00E+14,1.00E+00,1.00E+05,2.64E+01
5.00E-01,1.00E+14,1.00E+00,1.00E+06,2.64E+01
5.00E-01,1.00E+14,1.00E+00,1.00E+07,2.64E+01
5.00E-01,1.00E+15,1.00E+00,1.00E+02,1.26E+01
5.00E-01,1.00E+15,1.00E+00,1.00E+03,2.36E+01
5.00E-01,1.00E+15,1.00E+00,1.00E+04,2.47E+01
5.00E-01,1.00E+15,1.00E+00,1.00E+05,2.49E+01
5.00E-01,1.00E+15,1.00E+00,1.00E+06,2.49E+01
5.00E-01,1.00E+15,1.00E+00,1.00E+07,2.49E+01
5.00E-01,1.00E+16,1.00E+00,1.00E+02,1.19E+01
5.00E-01,1.00E+16,1.00E+00,1.00E+03,2.12E+01
5.00E-01,1.00E+16,1.00E+00,1.00E+04,2.22E+01
5.00E-01,1.00E+16,1.00E+00,1.00E+05,2.23E+01
5.00E-01,1.00E+16,1.00E+00,1.00E+06,2.23E+01
5.00E-01,1.00E+16,1.00E+00,1.00E+07,2.24E+01
5.00E-01,1.00E+17,1.00E+00,1.00E+02,1.04E+01
5.00E-01,1.00E+17,1.00E+00,1.00E+03,1.69E+01
5.00E-01,1.00E+17,1.00E+00,1.00E+04,1.76E+01
5.00E-01,1.00E+17,1.00E+00,1.00E+05,1.77E+01
5.00E-01,1.00E+17,1.00E+00,1.00E+06,1.77E+01
5.00E-01,1.00E+17,1.00E+00,1.00E+07,1.77E+01
6.00E-01,1.00E+13,1.00E+00,1.00E+02,1.35E+01
6.00E-01,1.00E+13,1.00E+00,1.00E+03,2.68E+01
6.00E-01,1.00E+13,1.00E+00,1.00E+04,2.81E+01
6.00E-01,1.00E+13,1.00E+00,1.00E+05,2.83E+01
6.00E-01,1.00E+13,1.00E+00,1.00E+06,2.83E+01
6.00E-01,1.00E+13,1.00E+00,1.00E+07,2.83E+01
6.00E-01,1.00E+14,1.00E+00,1.00E+02,1.34E+01
6.00E-01,1.00E+14,1.00E+00,1.00E+03,2.56E+01
6.00E-01,1.00E+14,1.00E+00,1.00E+04,2.69E+01
6.00E-01,1.00E+14,1.00E+00,1.00E+05,2.70E+01
6.00E-01,1.00E+14,1.00E+00,1.00E+06,2.70E+01
6.00E-01,1.00E+14,1.00E+00,1.00E+07,2.70E+01
6.00E-01,1.00E+15,1.00E+00,1.00E+02,1.32E+01
6.00E-01,1.00E+15,1.00E+00,1.00E+03,2.42E+01
6.00E-01,1.00E+15,1.00E+00,1.00E+04,2.53E+01
6.00E-01,1.00E+15,1.00E+00,1.00E+05,2.54E+01
6.00E-01,1.00E+15,1.00E+00,1.00E+06,2.54E+01
6.00E-01,1.00E+15,1.00E+00,1.00E+07,2.54E+01
6.00E-01,1.00E+16,1.00E+00,1.00E+02,1.24E+01
6.00E-01,1.00E+16,1.00E+00,1.00E+03,2.16E+01
6.00E-01,1.00E+16,1.00E+00,1.00E+04,2.26E+01
6.00E-01,1.00E+16,1.00E+00,1.00E+05,2.27E+01
6.00E-01,1.00E+16,1.00E+00,1.00E+06,2.27E+01
6.00E-01,1.00E+16,1.00E+00,1.00E+07,2.27E+01
6.00E-01,1.00E+17,1.00E+00,1.00E+02,1.04E+01
6.00E-01,1.00E+17,1.00E+00,1.00E+03,1.69E+01
6.00E-01,1.00E+17,1.00E+00,1.00E+04,1.76E+01
6.00E-01,1.00E+17,1.00E+00,1.00E+05,1.77E+01
6.00E-01,1.00E+17,1.00E+00,1.00E+06,1.77E+01
6.00E-01,1.00E+17,1.00E+00,1.00E+07,1.77E+01
7.00E-01,1.00E+13,1.00E+00,1.00E+02,1.40E+01
7.00E-01,1.00E+13,1.00E+00,1.00E+03,2.72E+01
7.00E-01,1.00E+13,1.00E+00,1.00E+04,2.86E+01
7.00E-01,1.00E+13,1.00E+00,1.00E+05,2.87E+01
7.00E-01,1.00E+13,1.00E+00,1.00E+06,2.88E+01
7.00E-01,1.00E+13,1.00E+00,1.00E+07,2.88E+01
7.00E-01,1.00E+14,1.00E+00,1.00E+02,1.39E+01
7.00E-01,1.00E+14,1.00E+00,1.00E+03,2.61E+01
7.00E-01,1.00E+14,1.00E+00,1.00E+04,2.73E+01
7.00E-01,1.00E+14,1.00E+00,1.00E+05,2.74E+01
7.00E-01,1.00E+14,1.00E+00,1.00E+06,2.74E+01
7.00E-01,1.00E+14,1.00E+00,1.00E+07,2.75E+01
7.00E-01,1.00E+15,1.00E+00,1.00E+02,1.36E+01
7.00E-01,1.00E+15,1.00E+00,1.00E+03,2.45E+01
7.00E-01,1.00E+15,1.00E+00,1.00E+04,2.56E+01
7.00E-01,1.00E+15,1.00E+00,1.00E+05,2.58E+01
7.00E-01,1.00E+15,1.00E+00,1.00E+06,2.58E+01
7.00E-01,1.00E+15,1.00E+00,1.00E+07,2.58E+01
7.00E-01,1.00E+16,1.00E+00,1.00E+02,1.26E+01
7.00E-01,1.00E+16,1.00E+00,1.00E+03,2.17E+01
7.00E-01,1.00E+16,1.00E+00,1.00E+04,2.27E+01
7.00E-01,1.00E+16,1.00E+00,1.00E+05,2.28E+01
7.00E-01,1.00E+16,1.00E+00,1.00E+06,2.28E+01
7.00E-01,1.00E+16,1.00E+00,1.00E+07,2.28E+01
7.00E-01,1.00E+17,1.00E+00,1.00E+02,1.03E+01
7.00E-01,1.00E+17,1.00E+00,1.00E+03,1.68E+01
7.00E-01,1.00E+17,1.00E+00,1.00E+04,1.75E+01
7.00E-01,1.00E+17,1.00E+00,1.00E+05,1.76E+01
7.00E-01,1.00E+17,1.00E+00,1.00E+06,1.76E+01
7.00E-01,1.00E+17,1.00E+00,1.00E+07,1.76E+01
8.00E-01,1.00E+13,1.00E+00,1.00E+02,1.44E+01
8.00E-01,1.00E+13,1.00E+00,1.00E+03,2.76E+01
8.00E-01,1.00E+13,1.00E+00,1.00E+04,2.89E+01
8.00E-01,1.00E+13,1.00E+00,1.00E+05,2.91E+01
8.00E-01,1.00E+13,1.00E+00,1.00E+06,2.91E+01
8.00E-01,1.00E+13,1.00E+00,1.00E+07,2.91E+01
8.00E-01,1.00E+14,1.00E+00,1.00E+02,1.43E+01
8.00E-01,1.00E+14,1.00E+00,1.00E+03,2.63E+01
8.00E-01,1.00E+14,1.00E+00,1.00E+04,2.76E+01
8.00E-01,1.00E+14,1.00E+00,1.00E+05,2.77E+01
8.00E-01,1.00E+14,1.00E+00,1.00E+06,2.77E+01
8.00E-01,1.00E+14,1.00E+00,1.00E+07,2.77E+01
8.00E-01,1.00E+15,1.00E+00,1.00E+02,1.39E+01
